bpd	arm	test	key_or_pair	N	canonical_same	max_rel_diff	max_bins
53	G	merge	4,4+1	61	1	0	0.000
53	G	merge	5,5+1	94	1	0	0.000
53	G	merge	6,6+1	95	1	0	0.000
53	G	merge	7,7+1	75	1	0	0.000
53	G	merge	8,8+1	173	1	0	0.000
53	G	merge	9,9+1	270	1	0	0.000
53	G	merge	10,10+1	214	1	0	0.000
53	G	merge	11,11+1	137	1	0	0.000
53	G	merge	12,12+1	193	1	0	0.000
53	G	merge	13,13+1	189	1	0	0.000
53	G	merge	14,14+1	177	1	0	0.000
53	G	merge	15,15+1	218	1	0	0.000
53	G	merge	16,16+1	217	1	0	0.000
53	G	merge	17,17+1	235	1	0	0.000
53	G	merge	18,18+1	193	1	0	0.000
53	G	merge	19,19+1	110	1	0	0.000
53	G	merge	20,20+1	97	1	0	0.000
53	G	merge	21,21+1	103	1	0	0.000
53	G	merge	22,22+1	85	1	0	0.000
53	G	merge	23,23+1	108	1	0	0.000
53	G	merge	24,24+1	197	1	0	0.000
53	G	merge	25,25+1	277	1	0	0.000
53	G	merge	26,26+1	159	1	0	0.000
